date,station_id,time,weather observation
20190104,488200,01:00am,mist
20190104,488200,04:00am,continuous light drizzle
20190104,488250,07:00am,cloudiness unchanged
20190104,488200,10:00am,mist
20190104,488200,01:00pm,mist
20190105,488200,01:00am,continuous moderate drizzle
20190105,488200,04:00am,mist
20190105,488250,07:00am,mist
20190105,488200,10:30am,mist
20190105,488200,01:00pm,mist
20190105,488200,04:00pm,haze
20190106,488200,01:00am,"thick fog, sky visible"
20190106,488200,04:00am,"thick fog, sky visible"
20190106,488250,07:00am,mist
20190107,488200,01:00am,continuous light rain
20190107,488200,04:00am,continuous light rain
20190107,488200,07:00am,mist
20190107,488200,10:00am,mist
20190107,488200,01:00pm,mist
20190107,488200,04:00pm,mist
20190107,488200,07:00pm,mist
20190107,488200,10:00pm,continuous light rain
20190108,488200,01:00am,continuous light rain
20190108,488200,04:00am,continuous light rain
20190108,488200,07:00am,continuous moderate drizzle
20190108,488200,10:00am,continuous light drizzle
20190108,488250,01:00pm,continuous light drizzle
20190108,488250,04:00pm,continuous light drizzle
20190108,488250,07:00pm,cloudiness unchanged
20190109,488200,01:00am,continuous light rain
20190109,488250,04:00am,mist
20190109,488200,07:00am,continuous moderate rain
20190109,488200,10:00am,continuous light drizzle
20190109,488250,01:00pm,light rain with drizzle
20190109,488250,04:00pm,intermittent light rain
20190109,488200,07:00pm,continuous light rain
20190109,488200,10:00pm,continuous light rain
20190110,488200,01:00am,mist
20190110,488200,04:00am,mist
20190110,488200,07:00am,mist
20190110,488250,10:00am,mist
20190110,488200,01:00pm,continuous moderate rain
20190110,488200,04:00pm,continuous light rain
20190110,488200,07:00pm,mist
20190110,488200,10:00pm,mist
20190111,488200,01:00am,mist
20190111,488200,04:00am,mist
20190111,488200,07:00am,continuous light drizzle
20190111,488200,10:00am,continuous moderate drizzle
20190111,488200,01:00pm,continuous light drizzle
20190111,488200,04:00pm,mist
20190111,488200,07:00pm,mist
20190111,488200,10:00pm,mist
20190112,488200,01:00am,continuous light drizzle
20190112,488200,04:00am,mist
20190112,488200,07:00am,mist
20190112,488200,10:00am,"thick fog, sky visible"
20190112,488200,01:00pm,mist
20190112,488200,04:00pm,mist
20190112,488200,07:00pm,mist
20190112,488200,10:00pm,mist
20190113,488200,01:00am,mist
20190113,488200,04:00am,mist
20190113,488200,07:00am,mist
20190113,488200,10:00am,mist
20190113,488200,10:00pm,mist
20190114,488200,01:00am,mist
20190114,488200,04:00am,mist
20190114,488200,07:00am,mist
20190114,488200,10:00am,mist
20190114,488200,01:00pm,mist
20190114,488200,10:00pm,mist
20190115,488200,07:00am,mist
20190115,488200,10:00am,mist
20190115,488250,01:00pm,rain departed
20190115,488200,04:00pm,continuous light rain
20190115,488250,07:00pm,cloudiness unchanged
20190116,488200,01:00pm,continuous light rain
20190116,488200,04:00pm,continuous light rain
20190116,488200,07:00pm,continuous light rain
20190118,488200,01:00am,mist
20190118,488200,10:00pm,mist
20190119,488200,01:00am,mist
20190119,488200,04:00am,mist
20190119,488200,07:00am,mist
20190119,488200,10:00am,mist
20190119,488200,01:00pm,haze
20190119,488200,04:00pm,haze
20190119,488200,07:00pm,mist
20190119,488200,10:00pm,mist
20190120,488200,01:00am,continuous moderate rain
20190120,488200,07:00am,mist
20190120,488200,10:00am,continuous light rain
20190120,488200,01:00pm,continuous light rain
20190120,488200,04:00pm,mist
20190120,488200,07:00pm,mist
20190120,488200,10:00pm,mist
20190121,488250,07:00am,continuous light rain
20190121,488250,10:00am,continuous light rain
20190121,488250,01:00pm,cloudiness unchanged
20190122,488200,01:00am,mist
20190122,488200,04:00am,mist
20190122,488200,10:00pm,mist
20190123,488200,01:00am,mist
20190123,488200,04:00am,mist
20190123,488200,07:00am,mist
20190123,488200,10:00am,haze
20190123,488200,01:00pm,haze
20190123,488200,04:00pm,haze
20190123,488200,07:00pm,haze
20190123,488200,10:00pm,mist
20190124,488200,01:00am,continuous light drizzle
20190124,488200,04:00am,mist
20190124,488200,07:00am,mist
20190124,488200,10:00am,mist
20190124,488200,01:00pm,haze
20190124,488200,04:00pm,haze
20190124,488200,07:00pm,mist
20190124,488200,10:00pm,mist
20190125,488200,01:00am,mist
20190125,488200,04:00am,mist
20190125,488200,07:00am,mist
20190125,488200,10:00am,mist
20190125,488200,01:00pm,mist
20190125,488200,04:00pm,mist
20190125,488200,07:00pm,mist
20190125,488200,10:00pm,mist
20190126,488200,01:00am,mist
20190126,488200,04:00am,thick fog
20190126,488200,07:00am,mist
20190126,488200,10:00am,haze
20190126,488200,01:00pm,haze
20190126,488200,04:00pm,haze
20190126,488200,07:00pm,mist
20190126,488200,10:00pm,mist
20190127,488200,01:00am,mist
20190127,488200,04:00am,mist
20190127,488200,07:00am,"thick fog, sky visible"
20190127,488200,10:00am,mist
20190127,488200,01:00pm,haze
20190127,488200,04:00pm,haze
20190128,488200,01:00am,mist
20190128,488200,07:00am,mist
20190128,488200,10:00am,mist
20190129,488200,04:00am,mist
20190129,488200,07:00am,mist
20190129,488200,04:00pm,haze
20190129,488200,07:00pm,haze
20190130,488200,07:00am,mist
20190130,488200,10:00am,mist
20190130,488250,01:00pm,cloudiness unchanged
20190131,488200,01:00am,mist
20190131,488200,01:00pm,haze
20190201,488200,07:00am,mist
20190201,488200,01:00pm,continuous moderate rain
20190201,488200,10:00pm,mist
20190202,488200,04:00am,mist
20190202,488200,07:00am,mist
20190202,488200,01:00pm,haze
20190203,488200,07:00am,mist
20190203,488200,10:00am,mist
20190204,488200,01:00am,mist
20190204,488200,04:00am,mist
20190204,488200,07:00am,mist
20190204,488200,10:00am,mist
20190204,488250,01:00pm,clouds developing
20190205,488200,07:00am,mist
20190206,488200,07:00am,mist
20190207,488200,04:00am,mist
20190207,488200,07:00am,mist
20190208,488200,07:00am,mist
20190209,488200,07:00am,mist
20190210,488250,04:00am,rain departed
20190211,488200,01:00am,continuous light drizzle
20190211,488200,04:00am,continuous moderate drizzle
20190211,488200,07:00am,continuous light rain
20190211,488200,10:00am,mist
20190211,488200,01:00pm,continuous light rain
20190211,488250,04:00pm,light rain with drizzle
20190211,488200,07:00pm,continuous light drizzle
20190211,488200,10:00pm,mist
20190212,488200,01:00am,mist
20190212,488250,04:00am,light rain with drizzle
20190212,488200,07:00am,continuous moderate drizzle
20190212,488200,10:00am,mist
20190212,488200,01:00pm,mist
20190212,488200,04:00pm,mist
20190213,488200,07:00am,mist
20190213,488200,10:00am,mist
20190213,488200,01:00pm,mist
20190214,488200,04:00am,mist
20190215,488200,01:00am,mist
20190215,488200,04:00am,mist
20190215,488200,07:00am,mist
20190215,488200,01:00pm,mist
20190216,488200,01:00am,continuous light rain
20190216,488250,04:00am,cloudiness unchanged
20190216,488200,07:00am,mist
