date,station_id,time,precipitation total 12h
20230103,488250,07:00am,~0.0mm
20230103,488250,07:00pm,~0.0mm
20230110,488250,07:00pm,0.8mm
20230111,488250,07:00am,5.0mm
20230127,488250,07:00am,4.0mm
20230203,488250,07:00am,3.0mm
20230203,488250,07:00pm,2.0mm
20230204,488250,07:00am,2.0mm
20230204,488250,07:00pm,~0.0mm
20230205,488250,07:00am,1.0mm
20230205,488250,07:00pm,4.0mm
20230206,488250,07:00am,~0.0mm
20230207,488250,07:00am,1.0mm
20230207,488250,07:00pm,0.4mm
20230208,488250,07:00am,2.0mm
20230208,488250,07:00pm,0.5mm
20230209,488250,07:00am,0.9mm
20230209,488250,07:00pm,~0.0mm
20230210,488250,07:00am,0.4mm
20230210,488250,07:00pm,~0.0mm
20230211,488250,07:00am,~0.0mm
20230213,488250,07:00am,0.1mm
20230214,488250,07:00am,1.0mm
20230219,488250,07:00pm,1.0mm
20230224,488250,07:00pm,0.5mm
20230311,488250,07:00pm,~0.0mm
20230312,488250,07:00am,0.1mm
20230313,488250,07:00am,~0.0mm
20230315,488250,07:00pm,0.1mm
20230316,488250,07:00am,0.5mm
20230316,488250,07:00pm,~0.0mm
20230321,488250,07:00am,0.1mm
20230325,488250,07:00am,2.0mm
20230325,488250,07:00pm,0.2mm
20230326,488250,07:00am,2.0mm
20230326,488250,07:00pm,0.2mm
20230327,488250,07:00am,0.9mm
20230327,488250,07:00pm,0.1mm
20230329,488250,07:00pm,1.0mm
20230330,488250,07:00am,0.3mm
20230331,488250,07:00am,1.0mm
20230331,488250,07:00pm,0.2mm
20230401,488250,07:00am,0.8mm
20230401,488250,07:00pm,0.5mm
20230402,488250,07:00am,0.4mm
20230403,488250,07:00am,0.1mm
20230408,488250,07:00am,~0.0mm
20230408,488250,07:00pm,~0.0mm
20230409,488250,07:00am,~0.0mm
20230410,488250,07:00am,0.4mm
20230410,488250,07:00pm,0.5mm
20230411,488250,07:00am,2.0mm
20230411,488250,07:00pm,~0.0mm
20230412,488250,07:00am,4.0mm
20230412,488250,07:00pm,0.3mm
20230413,488250,07:00am,2.0mm
20230413,488250,07:00pm,1.0mm
20230414,488250,07:00am,4.0mm
20230414,488250,07:00pm,~0.0mm
20230415,488250,07:00am,2.0mm
20230415,488250,07:00pm,7.0mm
20230418,488250,07:00am,~0.0mm
20230418,488250,07:00pm,~0.0mm
20230425,488250,07:00am,~0.0mm
20230425,488250,07:00pm,4.0mm
20230429,488250,07:00am,10.0mm
20230429,488250,07:00pm,44.0mm
20230430,488250,07:00pm,0.5mm
20230508,488250,07:00am,18.0mm
20230508,488250,07:00pm,8.0mm
20230509,488250,07:00am,12.0mm
20230509,488250,07:00pm,0.1mm
20230510,488250,07:00am,0.3mm
20230514,488250,07:00am,0.1mm
20230514,488250,07:00pm,0.1mm
20230516,488250,07:00am,0.2mm
20230520,488250,07:00pm,0.1mm
20230523,488250,07:00pm,0.1mm
20230524,488250,07:00am,4.0mm
20230525,488250,07:00am,5.0mm
20230525,488250,07:00pm,2.0mm
20230526,488250,07:00am,5.0mm
20230528,488250,07:00am,0.1mm
20230603,488250,07:00am,2.0mm
20230604,488250,07:00pm,3.0mm
20230605,488250,07:00am,~0.0mm
20230606,488250,07:00am,~0.0mm
20230606,488250,07:00pm,18.0mm
20230608,488250,07:00pm,8.0mm
20230609,488250,07:00am,52.0mm
20230612,488250,07:00pm,0.7mm
20230613,488250,07:00am,0.2mm
20230614,488250,07:00am,27.0mm
20230618,488250,07:00am,23.0mm
20230618,488250,07:00pm,16.0mm
20230620,488250,07:00pm,7.0mm
20230621,488250,07:00am,11.0mm
20230621,488250,07:00pm,8.0mm
20230622,488250,07:00am,18.0mm
20230623,488250,07:00am,0.9mm
20230623,488250,07:00pm,0.2mm
20230624,488250,07:00am,36.0mm
20230624,488250,07:00pm,5.0mm
20230625,488250,07:00am,27.0mm
20230625,488250,07:00pm,4.0mm
