date,station_id,time,temperature
20240103,488250,07:00am,0.6mm
20240103,488250,07:00pm,4.0mm
20240110,488250,07:00am,2.0mm
20240110,488250,07:00pm,2.0mm
20240111,488250,07:00am,6.0mm
20240111,488250,07:00pm,2.0mm
20240112,488250,07:00am,4.0mm
20240112,488250,07:00pm,4.0mm
20240113,488250,07:00am,2.0mm
20240113,488250,07:00pm,1.0mm
20240114,488250,07:00am,1.0mm
20240114,488250,07:00pm,0.5mm
20240115,488250,07:00am,0.1mm
20240116,488250,07:00am,0.6mm
20240116,488250,07:00pm,2.0mm
20240117,488250,07:00am,3.0mm
20240117,488250,07:00pm,6.0mm
20240118,488250,07:00am,0.7mm
20240121,488250,07:00am,0.8mm
20240121,488250,07:00pm,0.9mm
20240122,488250,07:00am,3.0mm
20240122,488250,07:00pm,1.0mm
20240123,488250,07:00pm,0.2mm
20240127,488250,07:00am,2.0mm
20240129,488250,07:00am,3.0mm
20240129,488250,07:00pm,1.0mm
20240130,488250,07:00am,~0.0mm
20240131,488250,07:00am,~0.0mm
20240131,488250,07:00pm,0.3mm
20240201,488250,07:00am,0.5mm
20240201,488250,07:00pm,~0.0mm
20240203,488250,07:00am,0.6mm
20240204,488250,07:00am,0.4mm
20240206,488250,07:00am,~0.0mm
20240206,488250,07:00pm,~0.0mm
20240207,488250,07:00am,0.3mm
20240207,488250,07:00pm,0.1mm
20240208,488250,07:00am,0.1mm
20240220,488250,07:00pm,~0.0mm
20240221,488250,07:00am,~0.0mm
20240222,488250,07:00am,0.6mm
20240222,488250,07:00pm,0.2mm
20240223,488250,07:00am,3.0mm
20240223,488250,07:00pm,4.0mm
20240224,488250,07:00am,2.0mm
20240224,488250,07:00pm,2.0mm
20240225,488250,07:00am,1.0mm
20240226,488250,07:00am,~0.0mm
20240226,488250,07:00pm,0.2mm
20240227,488250,07:00am,0.5mm
20240227,488250,07:00pm,0.1mm
20240228,488250,07:00pm,0.1mm
20240229,488250,07:00am,0.7mm
20240229,488250,07:00pm,0.1mm
20240304,488250,07:00am,0.4mm
20240304,488250,07:00pm,0.1mm
20240305,488250,07:00am,~0.0mm
20240309,488250,07:00am,~0.0mm
20240309,488250,07:00pm,~0.0mm
20240310,488250,07:00am,1.0mm
20240310,488250,07:00pm,~0.0mm
20240311,488250,07:00am,0.1mm
20240313,488250,07:00pm,~0.0mm
20240314,488250,07:00am,3.0mm
20240314,488250,07:00pm,1.0mm
20240315,488250,07:00am,3.0mm
20240315,488250,07:00pm,0.1mm
20240316,488250,07:00am,0.1mm
20240316,488250,07:00pm,~0.0mm
20240317,488250,07:00am,~0.0mm
20240318,488250,07:00am,0.2mm
20240318,488250,07:00pm,0.2mm
20240319,488250,07:00am,27.0mm
20240319,488250,07:00pm,0.9mm
20240320,488250,07:00am,0.1mm
20240323,488250,07:00am,~0.0mm
20240324,488250,07:00am,0.1mm
20240324,488250,07:00pm,0.1mm
20240325,488250,07:00am,0.1mm
20240327,488250,07:00am,~0.0mm
20240328,488250,07:00am,0.5mm
20240329,488250,07:00am,2.0mm
20240405,488250,07:00am,0.1mm
20240405,488250,07:00pm,0.1mm
20240406,488250,07:00am,1.0mm
20240406,488250,07:00pm,~0.0mm
20240407,488250,07:00am,1.0mm
20240407,488250,07:00pm,~0.0mm
20240408,488250,07:00am,2.0mm
20240408,488250,07:00pm,~0.0mm
20240409,488250,07:00am,1.0mm
20240409,488250,07:00pm,~0.0mm
20240410,488250,07:00am,0.2mm
20240410,488250,07:00pm,~0.0mm
20240415,488250,07:00pm,~0.0mm
20240416,488250,07:00am,3.0mm
20240418,488250,07:00am,14.0mm
20240418,488250,07:00pm,~0.0mm
20240420,488250,07:00pm,9.0mm
20240421,488250,07:00am,41.0mm
20240424,488250,07:00am,2.0mm
20240424,488250,07:00pm,1.0mm
20240425,488250,07:00am,6.0mm
20240502,488250,07:00am,32.0mm
20240502,488250,07:00pm,1.0mm
20240503,488250,07:00am,34.0mm
20240503,488250,07:00pm,~0.0mm
20240506,488250,07:00am,~0.0mm
20240506,488250,07:00pm,2.0mm
20240507,488250,07:00pm,5.0mm
20240508,488250,07:00pm,5.0mm
20240509,488250,07:00am,2.0mm
20240509,488250,07:00pm,2.0mm
20240510,488250,07:00am,0.1mm
20240512,488250,07:00pm,17.0mm
20240513,488250,07:00am,146.0mm
20240515,488250,07:00pm,0.8mm
20240516,488250,07:00am,0.2mm
20240519,488250,07:00pm,44.0mm
20240520,488250,07:00am,8.0mm
20240523,488250,07:00am,7.0mm
20240523,488250,07:00pm,~0.0mm
20240525,488250,07:00am,9.0mm
20240525,488250,07:00pm,5.0mm
20240526,488250,07:00am,10.0mm
20240527,488250,07:00am,0.2mm
20240530,488250,07:00pm,58.0mm
20240531,488250,07:00am,23.0mm
20240531,488250,07:00pm,9.0mm
20240604,488250,07:00am,3.0mm
20240604,488250,07:00pm,10.0mm
20240605,488250,07:00am,58.0mm
20240605,488250,07:00pm,12.0mm
20240606,488250,07:00am,1.0mm
20240606,488250,07:00pm,4.0mm
20240608,488250,07:00am,32.0mm
20240608,488250,07:00pm,8.0mm
20240609,488250,07:00am,25.0mm
20240609,488250,07:00pm,6.0mm
20240610,488250,07:00am,2.0mm
20240610,488250,07:00pm,14.0mm
20240611,488250,07:00am,4.0mm
20240611,488250,07:00pm,7.0mm
20240612,488250,07:00am,0.2mm
20240616,488250,07:00pm,0.1mm
20240617,488250,07:00am,3.0mm
20240618,488250,07:00am,8.0mm
20240620,488250,07:00am,0.8mm
20240621,488250,07:00am,0.8mm
20240621,488250,07:00pm,4.0mm
20240623,488250,07:00pm,52.0mm
20240624,488250,07:00am,12.0mm
20240624,488250,07:00pm,0.1mm
20240625,488250,07:00am,12.0mm
20240626,488250,07:00am,2.0mm
20240626,488250,07:00pm,4.0mm
20240627,488250,07:00am,6.0mm
20240627,488250,07:00pm,9.0mm
20240628,488250,07:00am,0.4mm
20240629,488250,07:00pm,10.0mm
20240630,488250,07:00am,3.0mm
20240703,488250,07:00am,1.0mm
20240703,488250,07:00pm,7.0mm
20240704,488250,07:00am,3.0mm
20240708,488250,07:00pm,0.4mm
20240709,488250,07:00pm,11.0mm
20240710,488250,07:00am,0.2mm
20240711,488250,07:00pm,10.0mm
20240712,488250,07:00am,1.0mm
20240713,488250,07:00am,4.0mm
20240713,488250,07:00pm,12.0mm
20240714,488250,07:00pm,1.0mm
20240715,488250,07:00am,13.0mm
20240715,488250,07:00pm,13.0mm
20240716,488250,07:00am,5.0mm
20240716,488250,07:00pm,2.0mm
20240717,488250,07:00am,2.0mm
20240717,488250,07:00pm,0.2mm
20240718,488250,07:00am,21.0mm
20240718,488250,07:00pm,3.0mm
20240719,488250,07:00am,11.0mm
20240719,488250,07:00pm,0.3mm
20240720,488250,07:00am,3.0mm
20240720,488250,07:00pm,9.0mm
20240721,488250,07:00pm,3.0mm
20240722,488250,07:00am,4.0mm
20240723,488250,07:00am,10.0mm
20240723,488250,07:00pm,179.0mm
20240724,488250,07:00am,101.0mm
20240724,488250,07:00pm,0.4mm
20240725,488250,07:00am,9.0mm
20240725,488250,07:00pm,15.0mm
20240728,488250,07:00am,35.0mm
20240729,488250,07:00am,10.0mm
20240729,488250,07:00pm,18.0mm
20240730,488250,07:00am,2.0mm
20240731,488250,07:00am,0.4mm
20240801,488250,07:00am,0.4mm
20240801,488250,07:00pm,0.1mm
20240802,488250,07:00am,7.0mm
20240802,488250,07:00pm,6.0mm
20240813,488250,07:00am,20.0mm
20240813,488250,07:00pm,0.1mm
20240814,488250,07:00am,13.0mm
20240815,488250,07:00am,0.5mm
20240817,488250,07:00pm,34.0mm
20240820,488250,07:00am,0.6mm
20240820,488250,07:00pm,4.0mm
20240821,488250,07:00am,16.0mm
20240821,488250,07:00pm,22.0mm
20240823,488250,07:00am,102.0mm
20240823,488250,07:00pm,0.5mm
20240824,488250,07:00am,17.0mm
20240824,488250,07:00pm,15.0mm
20240825,488250,07:00am,8.0mm
20240826,488250,07:00pm,41.0mm
20240827,488250,07:00am,9.0mm
20240830,488250,07:00am,15.0mm
20240830,488250,07:00pm,24.0mm
20240831,488250,07:00pm,0.9mm
20240901,488250,07:00am,4.0mm
20240901,488250,07:00pm,1.0mm
20240902,488250,07:00pm,2.0mm
20240903,488250,07:00am,40.0mm
