date,station_id,time,precipitation
20190104,488250,07:00am,0.9mm
20190106,488250,07:00am,0.1mm
20190107,488250,07:00pm,~0.0mm
20190108,488250,07:00am,1.0mm
20190108,488250,07:00pm,~0.0mm
20190109,488250,07:00am,3.0mm
20190109,488250,07:00pm,2.0mm
20190110,488250,07:00am,1.0mm
20190110,488250,07:00pm,~0.0mm
20190115,488250,07:00pm,0.5mm
20190116,488250,07:00pm,0.3mm
20190120,488250,07:00pm,0.1mm
20190121,488250,07:00am,0.2mm
20190121,488250,07:00pm,2.0mm
20190130,488250,07:00pm,~0.0mm
20190204,488250,07:00pm,~0.0mm
20190211,488250,07:00am,0.9mm
20190211,488250,07:00pm,0.5mm
20190212,488250,07:00am,0.4mm
20190212,488250,07:00pm,0.2mm
20190213,488250,07:00am,0.4mm
20190213,488250,07:00pm,0.1mm
20190215,488250,07:00pm,~0.0mm
20190217,488250,07:00am,1.0mm
20190217,488250,07:00pm,2.0mm
20190218,488250,07:00am,15.0mm
20190222,488250,07:00am,3.0mm
20190222,488250,07:00pm,~0.0mm
20190223,488250,07:00am,1.0mm
20190223,488250,07:00pm,~0.0mm
20190224,488250,07:00am,0.1mm
20190225,488250,07:00am,1.0mm
20190225,488250,07:00pm,~0.0mm
20190226,488250,07:00am,0.4mm
20190226,488250,07:00pm,0.1mm
20190227,488250,07:00am,0.2mm
20190301,488250,07:00am,3.0mm
20190302,488250,07:00pm,0.5mm
20190304,488250,07:00am,~0.0mm
20190304,488250,07:00pm,~0.0mm
20190305,488250,07:00am,~0.0mm
20190307,488250,07:00am,0.1mm
20190307,488250,07:00pm,~0.0mm
20190308,488250,07:00am,~0.0mm
20190308,488250,07:00pm,~0.0mm
20190309,488250,07:00am,~0.0mm
20190309,488250,07:00pm,0.1mm
20190315,488250,07:00am,~0.0mm
20190315,488250,07:00pm,~0.0mm
20190316,488250,07:00am,1.0mm
20190316,488250,07:00pm,0.5mm
20190317,488250,07:00am,2.0mm
20190317,488250,07:00pm,0.1mm
20190318,488250,07:00am,2.0mm
20190318,488250,07:00pm,0.7mm
20190319,488250,07:00am,0.4mm
20190319,488250,07:00pm,2.0mm
20190323,488250,07:00am,~0.0mm
20190323,488250,07:00pm,~0.0mm
20190324,488250,07:00am,0.3mm
20190326,488250,07:00am,~0.0mm
20190326,488250,07:00pm,~0.0mm
20190328,488250,07:00am,~0.0mm
20190329,488250,07:00pm,~0.0mm
20190401,488250,07:00pm,15.0mm
20190402,488250,07:00am,0.9mm
20190402,488250,07:00pm,~0.0mm
20190403,488250,07:00am,0.4mm
20190403,488250,07:00pm,0.1mm
20190404,488250,07:00am,1.0mm
20190404,488250,07:00pm,36.0mm
20190406,488250,07:00am,~0.0mm
20190410,488250,07:00am,~0.0mm
20190410,488250,07:00pm,0.1mm
20190411,488250,07:00am,3.0mm
20190411,488250,07:00pm,~0.0mm
20190413,488250,07:00am,0.3mm
20190414,488250,07:00am,3.0mm
20190414,488250,07:00pm,0.3mm
20190415,488250,07:00am,6.0mm
20190415,488250,07:00pm,~0.0mm
20190416,488250,07:00am,2.0mm
20190416,488250,07:00pm,0.3mm
20190417,488250,07:00am,0.4mm
20190418,488250,07:00am,0.6mm
20190421,488250,07:00pm,0.1mm
20190427,488250,07:00am,0.3mm
20190428,488250,07:00pm,4.0mm
20190430,488250,07:00am,64.0mm
20190430,488250,07:00pm,26.0mm
20190501,488250,07:00am,20.0mm
20190501,488250,07:00pm,0.6mm
20190502,488250,07:00am,3.0mm
20190502,488250,07:00pm,~0.0mm
20190503,488250,07:00am,4.0mm
20190503,488250,07:00pm,1.0mm
20190504,488250,07:00am,2.0mm
20190504,488250,07:00pm,0.3mm
20190505,488250,07:00am,2.0mm
20190505,488250,07:00pm,~0.0mm
20190507,488250,07:00am,0.2mm
20190507,488250,07:00pm,0.5mm
20190508,488250,07:00am,3.0mm
20190508,488250,07:00pm,~0.0mm
20190509,488250,07:00am,0.2mm
20190510,488250,07:00pm,~0.0mm
20190511,488250,07:00am,0.1mm
20190511,488250,07:00pm,0.3mm
20190512,488250,07:00am,~0.0mm
20190514,488250,07:00pm,2.0mm
20190515,488250,07:00am,1.0mm
20190521,488250,07:00am,0.2mm
20190521,488250,07:00pm,5.0mm
20190522,488250,07:00pm,1.0mm
20190525,488250,07:00am,2.0mm
20190525,488250,07:00pm,~0.0mm
20190527,488250,07:00am,0.3mm
20190527,488250,07:00pm,0.1mm
20190529,488250,07:00am,2.0mm
20190530,488250,07:00am,7.0mm
20190530,488250,07:00pm,0.1mm
20190531,488250,07:00am,25.0mm
20190531,488250,07:00pm,1.0mm
20190601,488250,07:00am,11.0mm
20190601,488250,07:00pm,29.0mm
20190602,488250,07:00am,0.2mm
20190602,488250,07:00pm,~0.0mm
20190605,488250,07:00pm,~0.0mm
20190606,488250,07:00am,4.0mm
20190606,488250,07:00pm,11.0mm
20190607,488250,07:00am,0.4mm
20190608,488250,07:00am,2.0mm
20190614,488250,07:00am,~0.0mm
20190614,488250,07:00pm,~0.0mm
20190618,488250,07:00am,18.0mm
20190618,488250,07:00pm,0.7mm
20190619,488250,07:00pm,6.0mm
20190624,488250,07:00am,0.7mm
20190624,488250,07:00pm,~0.0mm
20190626,488250,07:00am,2.0mm
20190630,488250,07:00am,35.0mm
20190701,488250,07:00pm,~0.0mm
20190702,488250,07:00am,0.5mm
20190703,488250,07:00am,0.7mm
20190703,488250,07:00pm,4.0mm
20190704,488250,07:00am,16.0mm
20190704,488250,07:00pm,9.0mm
20190709,488250,07:00pm,1.0mm
20190710,488250,07:00am,~0.0mm
20190710,488250,07:00pm,~0.0mm
20190715,488250,07:00pm,9.0mm
20190721,488250,07:00am,3.0mm
20190721,488250,07:00pm,3.0mm
20190725,488250,07:00pm,~0.0mm
20190728,488250,07:00pm,7.0mm
20190729,488250,07:00pm,42.0mm
20190730,488250,07:00am,2.0mm
20190730,488250,07:00pm,17.0mm
20190801,488250,07:00am,1.0mm
20190801,488250,07:00pm,33.0mm
20190802,488250,07:00am,6.0mm
20190802,488250,07:00pm,3.0mm
20190803,488250,07:00am,23.0mm
20190803,488250,07:00pm,107.0mm
20190804,488250,07:00am,52.0mm
20190804,488250,07:00pm,25.0mm
20190805,488250,07:00am,0.2mm
20190805,488250,07:00pm,4.0mm
20190808,488250,07:00am,0.1mm
20190808,488250,07:00pm,8.0mm
20190809,488250,07:00am,46.0mm
20190812,488250,07:00pm,0.0mm
20190814,488250,07:00am,~0.0mm
20190814,488250,07:00pm,~0.0mm
20190816,488250,07:00am,~0.0mm
20190816,488250,07:00pm,0.2mm
20190817,488250,07:00am,~0.0mm
20190817,488250,07:00pm,~0.0mm
20190819,488250,07:00pm,16.0mm
20190820,488250,07:00pm,17.0mm
20190821,488250,07:00am,2.0mm
20190821,488250,07:00pm,6.0mm
20190822,488250,07:00pm,53.0mm
20190823,488250,07:00pm,2.0mm
20190824,488250,07:00am,0.2mm
20190824,488250,07:00pm,6.0mm
20190828,488250,07:00am,2.0mm
20190828,488250,07:00pm,0.1mm
20190829,488250,07:00pm,22.0mm
20190830,488250,07:00am,0.4mm
20190830,488250,07:00pm,32.0mm
20190831,488250,07:00am,16.0mm
20190831,488250,07:00pm,20.0mm
20190901,488250,07:00am,21.0mm
20190901,488250,07:00pm,5.0mm
20190902,488250,07:00am,0.1mm
20190903,488250,07:00am,~0.0mm
20190904,488250,07:00pm,0.1mm
20190908,488250,07:00pm,1.0mm
20190909,488250,07:00am,~0.0mm
20190909,488250,07:00pm,4.0mm
20190910,488250,07:00am,3.0mm
20190910,488250,07:00pm,3.0mm
20190911,488250,07:00am,0.5mm
20190911,488250,07:00pm,7.0mm
20190912,488250,07:00am,2.0mm
20190912,488250,07:00pm,8.0mm
20190916,488250,07:00pm,6.0mm
20190919,488250,07:00am,56.0mm
