,time,humidity,temperature
0,07:00am,58%,14.0°C
1,08:00am,59%,15.0°C
2,09:00am,48%,17.0°C
3,10:00am,40%,19.0°C
4,11:00am,43%,20.0°C
5,12:00pm,40%,21.0°C
6,01:00pm,38%,22.0°C
7,02:00pm,43%,22.0°C
8,03:00pm,43%,22.0°C
9,04:00pm,43%,22.0°C
10,05:00pm,49%,21.0°C
11,06:00pm,53%,20.0°C
12,07:00pm,56%,19.0°C
13,08:00pm,64%,18.0°C
14,09:00pm,72%,17.0°C
15,10:00pm,72%,17.0°C
16,11:00pm,77%,16.0°C
17,12:30am,82%,15.0°C
18,01:00am,82%,15.0°C
19,02:00am,88%,15.0°C
20,03:00am,88%,15.0°C
21,04:00am,88%,14.0°C
22,05:00am,82%,14.0°C
23,06:00am,88%,13.0°C
