date,max_temperature,min_temperature,avg_wind_speed,avg_precipitation,weather
2019-01-01,0.0,0.0,12.8,0.0,sun
2019-01-02,0.0,0.0,11.1,0.0,sun
2019-01-03,0.0,0.0,9.0,0.0,sun
2019-01-04,0.0,0.0,6.8,0.9,fog
2019-01-05,0.0,0.0,8.3,0.0,fog
2019-01-06,0.0,0.0,9.4,0.1,fog
2019-01-07,0.0,0.0,7.4,0.0,fog
2019-01-08,0.0,0.0,16.9,0.5,drizzle
2019-01-09,0.0,0.0,8.8,2.5,rain
2019-01-10,0.0,0.0,4.7,0.5,fog
2019-01-11,0.0,0.0,3.8,0.0,fog
2019-01-12,0.0,0.0,9.2,0.0,fog
2019-01-13,0.0,0.0,11.0,0.0,fog
2019-01-14,0.0,0.0,12.4,0.0,fog
2019-01-15,0.0,0.0,15.8,0.5,fog
2019-01-16,0.0,0.0,12.6,0.3,rain
2019-01-17,0.0,0.0,7.8,0.0,sun
2019-01-18,17.0,14.0,5.5,0.0,fog
2019-01-19,21.0,16.0,4.2,0.0,fog
2019-01-20,20.0,16.0,8.8,0.1,fog
2019-01-21,16.0,14.0,12.7,1.1,rain
2019-01-22,19.0,12.0,8.5,0.0,fog
2019-01-23,19.0,14.0,7.0,0.0,fog
2019-01-24,19.0,16.0,5.7,0.0,fog
2019-01-25,20.0,17.0,6.8,0.0,fog
2019-01-26,22.0,13.0,6.2,0.0,fog
2019-01-27,22.0,13.0,8.8,0.0,fog
2019-01-28,25.0,16.0,11.7,0.0,fog
2019-01-29,24.0,18.0,9.2,0.0,fog
2019-01-30,27.0,20.0,16.6,0.0,fog
2019-01-31,27.0,20.0,9.0,0.0,fog
2019-02-01,24.0,18.0,13.6,0.0,fog
2019-02-02,25.0,18.0,12.0,0.0,fog
2019-02-03,25.0,20.0,9.9,0.0,fog
2019-02-04,27.0,20.0,12.3,0.0,fog
2019-02-05,28.0,21.0,11.4,0.0,fog
2019-02-06,29.0,21.0,16.1,0.0,fog
2019-02-07,30.0,21.0,12.0,0.0,fog
2019-02-08,31.0,22.0,13.7,0.0,fog
2019-02-09,30.0,22.0,14.4,0.0,fog
2019-02-10,28.0,23.0,16.4,0.0,rain
